"year","month","monthly"
2007,12,6.68548387096774
2008,1,3.37096774193548
2008,2,6.33035714285714
2008,3,8.94354838709677
2008,4,13.4666666666667
2008,5,16.8870967741935
2008,6,24.3166666666667
2008,7,24.7258064516129
2008,8,23.7016129032258
2008,9,21.2916666666667
2008,10,14.3548387096774
2008,11,7.69166666666667
2008,12,5.53225806451613
2009,1,1.93548387096774
2009,2,4.72321428571429
2009,3,8.39516129032258
2009,4,13.7666666666667
2009,5,18.9354838709677
2009,6,23.2416666666667
2009,7,23.6290322580645
2009,8,25.5645161290323
2009,9,20.575
2009,10,13.8064516129032
2009,11,10.875
2009,12,3.58870967741935
2010,1,2.08064516129032
2010,2,1.33928571428571
2010,3,9.4758064516129
2010,4,15.975
2010,5,20.0241935483871
2010,6,25.8916666666667
2010,7,26.5887096774194
2010,8,25.6612903225806
2010,9,22.6583333333333
2010,10,15.6612903225806
2010,11,8.725
2010,12,0.459677419354839
2011,1,1.63709677419355
2011,2,5.6875
2011,3,9.39516129032258
2011,4,15.25
2011,5,18.8145161290323
2011,6,24.6833333333333
2011,7,26.6209677419355
2011,8,25.5483870967742
2011,9,21.3833333333333
2011,10,14.3225806451613
2011,11,10.2833333333333
2011,12,6.80645161290323
2012,1,5.0241935483871
2012,2,6.00892857142857
2012,3,13.0887096774194
2012,4,13.8583333333333
2012,5,19.9516129032258
2012,6,21.9916666666667
2012,7,27.5241935483871
2012,8,24.4516129032258
2012,9,20.9666666666667
2012,10,15.2741935483871
2012,11,6.975
2012,12,7.41129032258065
2013,1,4.67741935483871
2013,2,3.875
2013,3,5.4758064516129
2013,4,14.225
2013,5,17.3387096774194
2013,6,23.375
2013,7,25.2741935483871
2013,8,23.0645161290323
2013,9,20.4833333333333
2013,10,15.241935483871
2013,11,8.08333333333333
2013,12,5.7258064516129
2014,1,0.459677419354839
2014,2,4.07142857142857
2014,3,5.31451612903226
2014,4,13.6083333333333
2014,5,19.3145161290323
2014,6,23.8083333333333
2014,7,24.5
2014,8,22.8064516129032
2014,9,21.45
2014,10,15.7822580645161
2014,11,6.74166666666667
2014,12,6.12903225806452
2015,1,2.9758064516129
2015,2,0.0982142857142857
2015,3,8.03225806451613
2015,4,14.4416666666667
2015,5,20.0887096774194
2015,6,24.6666666666667
2015,7,25.2983870967742
2015,8,24.2338709677419
2015,9,21.6916666666667
2015,10,14.9032258064516
2015,11,11.425
2015,12,10.7338709677419
2016,1,2.10483870967742
2016,2,4.74107142857143
2016,3,12.1935483870968
2016,4,13.8833333333333
2016,5,17.8629032258065
2016,6,23.0416666666667
2016,7,26.2177419354839
2016,8,26.3467741935484
2016,9,23.7833333333333
2016,10,16.8629032258065
2016,11,10.5333333333333
2016,12,6.41129032258065
